run_id,run_name,phase,artifact_type,has_manifest,path
1200,coordinate_optimizer_variable_depth_radius_seed1304969547258657_target2_sources5_txrx60_ringdown050_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1200_coordinate_optimizer_variable_depth_radius_seed1304969547258657_target2_sources5_txrx60_ringdown050_objectives
1201,coordinate_optimizer_variable_depth_radius_seed1304969547258657_target1_sources5_txrx60_ringdown050_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1201_coordinate_optimizer_variable_depth_radius_seed1304969547258657_target1_sources5_txrx60_ringdown050_objectives
1202,coordinate_optimizer_variable_depth_radius_seed2111485081748050_target0_sources8_txrx60_ringdown050_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1202_coordinate_optimizer_variable_depth_radius_seed2111485081748050_target0_sources8_txrx60_ringdown050_objectives
1203,coordinate_optimizer_variable_depth_radius_seed2111485081748050_target2_sources5_txrx60_ringdown050_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1203_coordinate_optimizer_variable_depth_radius_seed2111485081748050_target2_sources5_txrx60_ringdown050_objectives
1204,coordinate_optimizer_variable_depth_radius_seed2111485081748050_target2_sources7_txrx60_ringdown050_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1204_coordinate_optimizer_variable_depth_radius_seed2111485081748050_target2_sources7_txrx60_ringdown050_objectives
1205,coordinate_optimizer_variable_depth_radius_seed2111485081748050_target1_sources5_txrx60_ringdown050_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1205_coordinate_optimizer_variable_depth_radius_seed2111485081748050_target1_sources5_txrx60_ringdown050_objectives
1206,coordinate_optimizer_variable_depth_radius_seed3416454629006707_target0_sources8_txrx60_ringdown050_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1206_coordinate_optimizer_variable_depth_radius_seed3416454629006707_target0_sources8_txrx60_ringdown050_objectives
1207,coordinate_optimizer_variable_depth_radius_seed3416454629006707_target2_sources5_txrx60_ringdown050_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1207_coordinate_optimizer_variable_depth_radius_seed3416454629006707_target2_sources5_txrx60_ringdown050_objectives
1208,coordinate_optimizer_variable_depth_radius_seed3416454629006707_target2_sources7_txrx60_ringdown050_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1208_coordinate_optimizer_variable_depth_radius_seed3416454629006707_target2_sources7_txrx60_ringdown050_objectives
1209,coordinate_optimizer_variable_depth_radius_seed3416454629006707_target2_sources9_txrx60_ringdown050_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1209_coordinate_optimizer_variable_depth_radius_seed3416454629006707_target2_sources9_txrx60_ringdown050_objectives
1210,coordinate_optimizer_variable_depth_radius_seed3416454629006707_target1_sources5_txrx60_ringdown050_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1210_coordinate_optimizer_variable_depth_radius_seed3416454629006707_target1_sources5_txrx60_ringdown050_objectives
1211,coordinate_optimizer_variable_depth_radius_seed5527939710754757_target0_sources8_txrx60_ringdown050_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1211_coordinate_optimizer_variable_depth_radius_seed5527939710754757_target0_sources8_txrx60_ringdown050_objectives
1212,coordinate_optimizer_variable_depth_radius_seed5527939710754757_target0_sources8_txrx52p5_ringdown050_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1212_coordinate_optimizer_variable_depth_radius_seed5527939710754757_target0_sources8_txrx52p5_ringdown050_objectives
1213,coordinate_optimizer_variable_depth_radius_seed5527939710754757_target0_sources8_txrx50_ringdown050_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1213_coordinate_optimizer_variable_depth_radius_seed5527939710754757_target0_sources8_txrx50_ringdown050_objectives
1214,coordinate_optimizer_variable_depth_radius_seed5527939710754757_target0_sources8_txrx45_ringdown050_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1214_coordinate_optimizer_variable_depth_radius_seed5527939710754757_target0_sources8_txrx45_ringdown050_objectives
1215,coordinate_optimizer_variable_depth_radius_seed5527939710754757_target2_sources5_txrx60_ringdown050_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1215_coordinate_optimizer_variable_depth_radius_seed5527939710754757_target2_sources5_txrx60_ringdown050_objectives
1216,coordinate_optimizer_variable_depth_radius_seed5527939710754757_target1_sources5_txrx60_ringdown050_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1216_coordinate_optimizer_variable_depth_radius_seed5527939710754757_target1_sources5_txrx60_ringdown050_objectives
1217,coordinate_optimizer_variable_depth_radius_seed5527939710754757_target1_sources9_txrx60_ringdown050_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1217_coordinate_optimizer_variable_depth_radius_seed5527939710754757_target1_sources9_txrx60_ringdown050_objectives
1218,coordinate_optimizer_variable_depth_radius_seed5527939710754757_target1_sources11_txrx60_ringdown050_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1218_coordinate_optimizer_variable_depth_radius_seed5527939710754757_target1_sources11_txrx60_ringdown050_objectives
1219,coordinate_optimizer_close50_seed13_sources4_txrx25_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1219_coordinate_optimizer_close50_seed13_sources4_txrx25_objectives
1220,coordinate_optimizer_close50_seed21_sources4_txrx25_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,False,outputs/experiments/1220_coordinate_optimizer_close50_seed21_sources4_txrx25_objectives
1221,coordinate_optimizer_close50_seed21_sources4_txrx25_rerun_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1221_coordinate_optimizer_close50_seed21_sources4_txrx25_rerun_objectives
1222,coordinate_confidence_close50_sources4_txrx25_30_35_40_seed_replicates,1200-1259 prior holistic tail and stop-point context,coordinate aggregate,True,outputs/experiments/1222_coordinate_confidence_close50_sources4_txrx25_30_35_40_seed_replicates
1223,coordinate_optimizer_variable_depth_radius_seed5527939710754757_target1_sources5_txrx52p5_ringdown050_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1223_coordinate_optimizer_variable_depth_radius_seed5527939710754757_target1_sources5_txrx52p5_ringdown050_objectives
1224,coordinate_optimizer_variable_depth_radius_seed610_target1_sources5_txrx52p5_ringdown050_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1224_coordinate_optimizer_variable_depth_radius_seed610_target1_sources5_txrx52p5_ringdown050_objectives
1225,coordinate_optimizer_variable_depth_radius_seed20365011074_target2_sources5_txrx50_ringdown050_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1225_coordinate_optimizer_variable_depth_radius_seed20365011074_target2_sources5_txrx50_ringdown050_objectives
1226,coordinate_optimizer_variable_depth_radius_seed308061521720129_target2_sources5_txrx50_ringdown050_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1226_coordinate_optimizer_variable_depth_radius_seed308061521720129_target2_sources5_txrx50_ringdown050_objectives
1227,coordinate_confidence_recent_target1_target2_policy_synthesis,1200-1259 prior holistic tail and stop-point context,coordinate aggregate,True,outputs/experiments/1227_coordinate_confidence_recent_target1_target2_policy_synthesis
1228,coordinate_confidence_target0_policy_synthesis,1200-1259 prior holistic tail and stop-point context,coordinate aggregate,True,outputs/experiments/1228_coordinate_confidence_target0_policy_synthesis
1229,coordinate_objective_diagnostic_target1_unresolved_policy,1200-1259 prior holistic tail and stop-point context,policy/audit synthesis,True,outputs/experiments/1229_coordinate_objective_diagnostic_target1_unresolved_policy
1230,coordinate_objective_diagnostic_target2_txrx50_policy,1200-1259 prior holistic tail and stop-point context,policy/audit synthesis,True,outputs/experiments/1230_coordinate_objective_diagnostic_target2_txrx50_policy
1231,coordinate_objective_diagnostic_target0_policy,1200-1259 prior holistic tail and stop-point context,policy/audit synthesis,True,outputs/experiments/1231_coordinate_objective_diagnostic_target0_policy
1232,coordinate_objective_policy_matrix,1200-1259 prior holistic tail and stop-point context,publication synthesis,True,outputs/experiments/1232_coordinate_objective_policy_matrix
1233,archive_objective_policy_700_1218,1200-1259 prior holistic tail and stop-point context,policy/audit synthesis,True,outputs/experiments/1233_archive_objective_policy_700_1218
1234,coordinate_optimizer_variable_depth_radius_seed610_target1_sources5_txrx50_ringdown050_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1234_coordinate_optimizer_variable_depth_radius_seed610_target1_sources5_txrx50_ringdown050_objectives
1235,coordinate_optimizer_variable_depth_radius_seed610_target1_sources5_txrx55_ringdown050_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1235_coordinate_optimizer_variable_depth_radius_seed610_target1_sources5_txrx55_ringdown050_objectives
1236,coordinate_optimizer_variable_depth_radius_seed610_target1_sources5_txrx57p5_ringdown050_objectives,1200-1259 prior holistic tail and stop-point context,coordinate optimizer run,True,outputs/experiments/1236_coordinate_optimizer_variable_depth_radius_seed610_target1_sources5_txrx57p5_ringdown050_objectives
1237,coordinate_objective_diagnostic_target1_expanded_policy,1200-1259 prior holistic tail and stop-point context,policy/audit synthesis,True,outputs/experiments/1237_coordinate_objective_diagnostic_target1_expanded_policy
1238,coordinate_objective_policy_matrix_expanded_target1,1200-1259 prior holistic tail and stop-point context,publication synthesis,True,outputs/experiments/1238_coordinate_objective_policy_matrix_expanded_target1
1239,coordinate_resolution_policy_synthesis,1200-1259 prior holistic tail and stop-point context,policy/audit synthesis,True,outputs/experiments/1239_coordinate_resolution_policy_synthesis
