domain,claim_area,required_for_current_package,has_allowed_claim,has_not_allowed_boundary,boundary_complete,allowed_claim,not_allowed
synthetic_2d,resolution_limit,True,True,True,True,"Report acquisition- and objective-specific clean/interval/mixed resolution regions, using the current resolution-claim map.",Do not present a universal physical rebar spacing limit from these synthetic sweeps.
synthetic_2d,close50_legacy_branch,True,True,True,True,"Use the refreshed 270/280 audit to say the old close50 Tx/Rx 40 target2 branch is resolved by later midpoint, replicated 28.75 mm non-clean, and replicated 30 mm clean-threshold evidence.",Do not repeat the old Tx/Rx 40 branch or present it as an all-target resolution result.
synthetic_2d,confidence_policy,True,True,True,True,"Separate truth selection, strict base-margin confidence, and secondary diagnostic confirmation.",Do not call weak-exact rows fully accepted under the canonical base policy.
synthetic_2d,reporting_tiers,True,True,True,True,"Report exact-strong, strict location-clean, zero-width objective near-tie, and geometry-ambiguous near-tie as separate tiers.",Do not collapse exact-strong rows into paper-clean location claims without checking geometry ambiguity widths.
synthetic_2d,objective_uniqueness,True,True,True,True,Zero-width objective near-ties occur for targets 1 and 2; they limit objective-uniqueness wording but not location-clean geometry wording.,Do not describe zero-width near-tie rows as uniquely isolated objective basins.
synthetic_2d,target_specificity,True,True,True,True,Geometry ambiguity in exact-strong archive rows is target-specific to target2; target2 strict location-clean fraction is 0.921348 in the current claim-tier table.,"Do not imply target0, target1, and target2 share the same ambiguity profile."
synthetic_2d,target1_acquisition_confidence,True,True,True,True,Use target1 as an example of stable exact geometry with acquisition-sensitive confidence and nonmonotonic source-density behavior.,Do not claim source-count escalation is a general target1 rescue rule or launch target1 reruns without a new hypothesis.
synthetic_2d,target2_close14_objective_limit,True,True,True,True,"For target2 close14 source5 / Tx/Rx=45 mm, the three-seed probe selected truth with strong radius confidence in 6 / 6 rows, but the +1 mm x competitor remained inside the 0.5x ambiguity gate in 6 / 6 rows.",Do not describe this branch as clean lateral resolution or as an objective-unique inversion result.
synthetic_2d,target2_close50_linear29p5_seed_frequency,True,True,True,True,"For target2 close50 linear receiver Tx/Rx=29.5 mm, the three-seed policy selected the true geometry with strong radius confidence in 6 / 6 rows. Strict-clean support is 2 / 3 seeds; seed13 remains an x-ambiguity caveat.",Do not promote 29.5 mm to a clean replicated sub-30 mm threshold; keep the nearest-sampled 30 mm result as the paper-safe clean threshold.
synthetic_2d,gpu_next_step,True,True,True,True,"Current synthetic policy has no open modern ringdown050, close14 objective-limit, close50 seed-frequency, or target1 source-density GPU-priority exception.","Do not launch broad GPU sweeps without a new objective, geometry, or acquisition question."
synthetic_2d,field_separation,True,True,True,True,Keep synthetic policy claims separate from local GSSI field QC claims.,Do not use field QC to change known-truth synthetic confidence labels.
field_2d,field_geometry,True,True,True,True,The local GSSI data are independent 2D line-profile QC evidence.,Do not treat the dataset as a recovered 3D survey grid without external layout metadata.
field_2d,short_profile_timing,True,True,True,True,Use short 014/016 content-backed and supported-stack figures for relative timing/repeatability QC.,"Do not claim absolute time-zero, cover depth, radius, or measured-data FWI from these panels."
field_2d,long_profile_pattern,True,True,True,True,Use long 015/013 figures as pattern-only QC at the robust +0.06 ns shift.,Do not call the long-profile shift a phase anchor or transferable time-zero correction.
field_2d,synthetic_separation,True,True,True,True,Keep field QC and known-truth synthetic confidence policies separate.,Do not use field QC to relabel synthetic optimizer success or ambiguity tiers.
