series_id,series_type,title,run_ids,seed,target,varied_col,varied_values,n_runs,accepted_runs,weak_runs,best_run,best_margin,all_exact_geometry,conclusion
ringdown_seed89_target1_runs746_749,ringdown,"Ringdown-parameter series: seed89 target1, runs 746-749, ringdown_value=0.25, 0.35","746, 749",89,1,ringdown_value,"0.25, 0.35",2,"746, 749",,749,0.0006280925800414734,True,All tested rows cleared the strict 5.0e-04 base-margin cutoff; best tested run is 749.
ringdown_seed89_target2_runs745_750,ringdown,"Ringdown-parameter series: seed89 target2, runs 745-750, ringdown_value=0.25, 0.35","745, 750",89,2,ringdown_value,"0.25, 0.35",2,"745, 750",,750,0.001038879213276004,True,All tested rows cleared the strict 5.0e-04 base-margin cutoff; best tested run is 750.
ringdown_seed89_target0_runs744_751,ringdown,"Ringdown-parameter series: seed89 target0, runs 744-751, ringdown_value=0.25, 0.35","744, 751",89,0,ringdown_value,"0.25, 0.35",2,"744, 751",,751,0.0006141948131579665,True,All tested rows cleared the strict 5.0e-04 base-margin cutoff; best tested run is 751.
ringdown_seed89_target2_runs765_779,ringdown,"Ringdown-parameter series: seed89 target2, runs 765-779, ringdown_value=0.25, 0.35","765, 779",89,2,ringdown_value,"0.25, 0.35",2,,"765, 779",779,0.0004945264133283493,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 779.
ringdown_seed89_target2_runs780_782,ringdown,"Ringdown-parameter series: seed89 target2, runs 780-782, ringdown_value=0.25, 0.35","780, 782",89,2,ringdown_value,"0.25, 0.35",2,"780, 782",,780,0.000645316044171021,True,All tested rows cleared the strict 5.0e-04 base-margin cutoff; best tested run is 780.
ringdown_seed89_target2_runs783_868,ringdown,"Ringdown-parameter series: seed89 target2, runs 783-868, ringdown_value=0.25, 0.5","783, 868",89,2,ringdown_value,"0.25, 0.5",2,783,868,783,0.0005100529265886847,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 783.
ringdown_seed89_target1_runs790_798,ringdown,"Ringdown-parameter series: seed89 target1, runs 790-798, ringdown_value=0.25, 0.35","790, 798",89,1,ringdown_value,"0.25, 0.35",2,,"790, 798",790,0.0004999206288246426,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 790.
ringdown_seed89_target2_runs791_869,ringdown,"Ringdown-parameter series: seed89 target2, runs 791-869, ringdown_value=0.25, 0.5","791, 869",89,2,ringdown_value,"0.25, 0.5",2,791,869,791,0.0005243426975049675,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 791.
ringdown_seed89_target1_runs786_819,ringdown,"Ringdown-parameter series: seed89 target1, runs 786-819, ringdown_value=0.25, 0.25, 0.25, 0.35, 0.459375","786, 792, 793, 794, 819",89,1,ringdown_value,"0.25, 0.25, 0.25, 0.35, 0.459375",5,"786, 794, 819","792, 793",794,0.0005424899765025804,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 794.
ringdown_seed89_target0_runs789_842,ringdown,"Ringdown-parameter series: seed89 target0, runs 789-842, ringdown_value=0.25, 0.35, 0.459375, 0.5","789, 795, 823, 842",89,0,ringdown_value,"0.25, 0.35, 0.459375, 0.5",4,"789, 795, 823, 842",,795,0.0005954727746698522,True,All tested rows cleared the strict 5.0e-04 base-margin cutoff; best tested run is 795.
ringdown_seed89_target2_runs787_844,ringdown,"Ringdown-parameter series: seed89 target2, runs 787-844, ringdown_value=0.25, 0.35, 0.459375, 0.5","787, 796, 822, 844",89,2,ringdown_value,"0.25, 0.35, 0.459375, 0.5",4,"787, 796, 822, 844",,796,0.0006058656863329528,True,All tested rows cleared the strict 5.0e-04 base-margin cutoff; best tested run is 796.
ringdown_seed89_target0_runs788_797,ringdown,"Ringdown-parameter series: seed89 target0, runs 788-797, ringdown_value=0.25, 0.35","788, 797",89,0,ringdown_value,"0.25, 0.35",2,,"788, 797",797,0.0004974545887538144,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 797.
ringdown_seed21_target0_runs802_856,ringdown,"Ringdown-parameter series: seed21 target0, runs 802-856, ringdown_value=0.35, 0.459375, 0.5, 0.475, 0.49375, 0.496875, 0.4953125, 0.49453125, 0.494921875, 0.4947265625","802, 826, 846, 848, 849, 852, 853, 854, 855, 856",21,0,ringdown_value,"0.35, 0.459375, 0.5, 0.475, 0.49375, 0.496875, 0.4953125, 0.49453125, 0.494921875, 0.4947265625",10,"802, 826, 848, 849, 854","846, 852, 853, 855, 856",802,0.0005444705642222263,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 802.
ringdown_seed21_target1_runs803_820,ringdown,"Ringdown-parameter series: seed21 target1, runs 803-820, ringdown_value=0.35, 0.459375","803, 820",21,1,ringdown_value,"0.35, 0.459375",2,"803, 820",,803,0.0005683415488146257,True,All tested rows cleared the strict 5.0e-04 base-margin cutoff; best tested run is 803.
ringdown_seed21_target2_runs804_864,ringdown,"Ringdown-parameter series: seed21 target2, runs 804-864, ringdown_value=0.35, 0.459375, 0.49375, 0.49453125","804, 825, 850, 864",21,2,ringdown_value,"0.35, 0.459375, 0.49375, 0.49453125",4,"804, 825, 850, 864",,804,0.0005337947729263694,True,All tested rows cleared the strict 5.0e-04 base-margin cutoff; best tested run is 804.
ringdown_seed13_target0_runs805_840,ringdown,"Ringdown-parameter series: seed13 target0, runs 805-840, ringdown_value=0.35, 0.459375, 0.5","805, 817, 840",13,0,ringdown_value,"0.35, 0.459375, 0.5",3,"805, 817, 840",,805,0.0006074783401433213,True,All tested rows cleared the strict 5.0e-04 base-margin cutoff; best tested run is 805.
ringdown_seed13_target1_runs806_814,ringdown,"Ringdown-parameter series: seed13 target1, runs 806-814, ringdown_value=0.35, 0.45, 0.5, 0.475, 0.4625, 0.45625, 0.459375","806, 809, 810, 811, 812, 813, 814",13,1,ringdown_value,"0.35, 0.45, 0.5, 0.475, 0.4625, 0.45625, 0.459375",7,"806, 809, 813, 814","810, 811, 812",806,0.0005109178469353687,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 806.
ringdown_seed13_target2_runs807_816,ringdown,"Ringdown-parameter series: seed13 target2, runs 807-816, ringdown_value=0.35, 0.459375","807, 816",13,2,ringdown_value,"0.35, 0.459375",2,"807, 816",,807,0.0005645861837228795,True,All tested rows cleared the strict 5.0e-04 base-margin cutoff; best tested run is 807.
ringdown_seed13_target1_runs829_834,ringdown,"Ringdown-parameter series: seed13 target1, runs 829-834, ringdown_value=0.459375, 0.4625, 0.46875, 0.475, 0.5","829, 830, 831, 832, 834",13,1,ringdown_value,"0.459375, 0.4625, 0.46875, 0.475, 0.5",5,"829, 830, 831, 832, 834",,829,0.0005427630805609034,True,All tested rows cleared the strict 5.0e-04 base-margin cutoff; best tested run is 829.
ringdown_seed89_target1_runs754_835,ringdown,"Ringdown-parameter series: seed89 target1, runs 754-835, ringdown_value=0.25, 0.5","754, 835",89,1,ringdown_value,"0.25, 0.5",2,"754, 835",,835,0.0005590846504752098,True,All tested rows cleared the strict 5.0e-04 base-margin cutoff; best tested run is 835.
ringdown_seed89_target2_runs755_843,ringdown,"Ringdown-parameter series: seed89 target2, runs 755-843, ringdown_value=0.25, 0.25, 0.5","755, 759, 843",89,2,ringdown_value,"0.25, 0.25, 0.5",3,,"755, 759, 843",843,0.0004414916837520745,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 843.
ringdown_seed610_target2_runs889_896,ringdown,"Ringdown-parameter series: seed610 target2, runs 889-896, ringdown_value=0.5, 0.49453125, 0.475, 0.459375, 0.4, 0.35, 0.25","889, 891, 892, 893, 894, 895, 896",610,2,ringdown_value,"0.5, 0.49453125, 0.475, 0.459375, 0.4, 0.35, 0.25",7,,"889, 891, 892, 893, 894, 895, 896",894,0.0004969192089030357,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 894.
source_density_seed89_target1_runs754_793,source_density,"Source-density series: seed89 target1, runs 754-793, sources=5, 7, 9, 8, 9, 9","754, 785, 786, 790, 792, 793",89,1,sources,"5, 7, 9, 8, 9, 9",6,"754, 786","785, 790, 792, 793",754,0.0005319351185865198,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 754.
source_density_seed89_target2_runs765_781,source_density,"Source-density series: seed89 target2, runs 765-781, sources=5, 7, 9","765, 780, 781",89,2,sources,"5, 7, 9",3,"780, 781",765,780,0.000645316044171021,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 780.
source_density_seed89_target2_runs779_782,source_density,"Source-density series: seed89 target2, runs 779-782, sources=5, 7","779, 782",89,2,sources,"5, 7",2,782,779,782,0.0006319852168151924,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 782.
source_density_seed89_target2_runs755_791,source_density,"Source-density series: seed89 target2, runs 755-791, sources=5, 5, 7, 9, 8","755, 759, 783, 787, 791",89,2,sources,"5, 5, 7, 9, 8",5,"783, 787, 791","755, 759",787,0.0005780024801298154,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 787.
source_density_seed89_target0_runs756_789,source_density,"Source-density series: seed89 target0, runs 756-789, sources=5, 7, 9, 8","756, 784, 788, 789",89,0,sources,"5, 7, 9, 8",4,"756, 784, 789",788,789,0.0005899920672182632,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 789.
source_density_seed89_target1_runs794_798,source_density,"Source-density series: seed89 target1, runs 794-798, sources=9, 8","794, 798",89,1,sources,"9, 8",2,794,798,794,0.0005424899765025804,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 794.
source_density_seed89_target0_runs795_801,source_density,"Source-density series: seed89 target0, runs 795-801, sources=8, 9, 15","795, 797, 801",89,0,sources,"8, 9, 15",3,795,"797, 801",795,0.0005954727746698522,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 795.
source_density_seed13_target1_runs814_829,source_density,"Source-density series: seed13 target1, runs 814-829, sources=9, 5","814, 829",13,1,sources,"9, 5",2,"814, 829",,829,0.0005427630805609034,True,All tested rows cleared the strict 5.0e-04 base-margin cutoff; best tested run is 829.
source_density_seed13_target1_runs812_830,source_density,"Source-density series: seed13 target1, runs 812-830, sources=9, 5","812, 830",13,1,sources,"9, 5",2,830,812,830,0.0005419126911652139,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 830.
source_density_seed13_target1_runs811_832,source_density,"Source-density series: seed13 target1, runs 811-832, sources=9, 5","811, 832",13,1,sources,"9, 5",2,832,811,832,0.0005382032594477663,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 832.
source_density_seed13_target1_runs810_834,source_density,"Source-density series: seed13 target1, runs 810-834, sources=9, 5","810, 834",13,1,sources,"9, 5",2,834,810,834,0.0005293926081035016,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 834.
source_density_seed13_target0_runs839_840,source_density,"Source-density series: seed13 target0, runs 839-840, sources=5, 8","839, 840",13,0,sources,"5, 8",2,"839, 840",,840,0.0005625752887398541,True,All tested rows cleared the strict 5.0e-04 base-margin cutoff; best tested run is 840.
source_density_seed89_target2_runs843_869,source_density,"Source-density series: seed89 target2, runs 843-869, sources=5, 9, 7, 8","843, 844, 868, 869",89,2,sources,"5, 9, 7, 8",4,844,"843, 868, 869",844,0.0005821194944756799,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 844.
source_density_seed21_target0_runs846_858,source_density,"Source-density series: seed21 target0, runs 846-858, sources=8, 9, 7","846, 847, 858",21,0,sources,"8, 9, 7",3,,"846, 847, 858",846,0.000497504105048608,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 846.
